,mean_abs_shap
scoring_pts_ind,0.02384144030204479
OLI,0.017026457625334935
possessions,0.01614175442177971
def_stops_per100,0.013758959678173555
scoring_pts_share,0.013469649477654857
minutes_tot_ind,0.01320652808765187
three_per100,0.012275052177597102
TOV_pct,0.01174716172562222
ast_per_fgm,0.01171477621946239
rebounds_tot_ind,0.01125590859551873
pts_per_game,0.009764251110598273
ast_ind,0.009625625014132812
Spacing,0.009393705995830913
threeA_per100,0.009326608477602251
threeA_rate,0.008706981903990503
game_score,0.008532093269801378
rebounds_tot_share,0.00848279475689204
reb_per40,0.008160987051404346
TUSG_pct,0.007508744112698312
reb_per_game,0.006883731581333891
OEFF,0.006645716881949934
ast_per100,0.006608375891077261
to_ind,0.0064192363493932305
min_share,0.006349426244344379
scoring_pts_per100,0.006228278122726854
2pt_pct,0.0055676367557901734
ast_share,0.0051506337501010125
threeA_per40,0.005054538085817255
three_per40,0.004764624735410585
IPM,0.004737289511183667
Gravity,0.004704842839561879
game_score_per40,0.004682519558892467
mins_per_game,0.004249893819617237
APC,0.004180716370819192
ast_per_game,0.004026446018866845
PEI,0.0036507156846658493
ast_per40,0.0035529163639656976
ORB_pct,0.003377896645513047
DRCR,0.0031502502337951593
AST_per_TO,0.00311463962637896
AST_pct,0.003091850083622974
to_share,0.0030244176803011506
PEF,0.002888992105293683
pts_per40,0.0026779289570190244
gs_ind,0.002649475381308619
stl_share,0.002495282852161229
to_per100,0.0022752737146386043
tov_rate,0.0022699185092175285
rebounds_tot_per100,0.0022469763313244678
Assist_to_Usage,0.001974581747616877
to_per_game,0.0019410683703301214
DRB_pct,0.0016325820907460253
eFG_pct,0.0015113710242775952
3pt_3pt_pct_ind,0.0014329856209383766
blk_share,0.0014256426595015222
blk_per40,0.0013810186359939501
TS_pct,0.0013606072585150924
stl_ind,0.0013007028003590355
blk_per100,0.0010696209538491013
PPP,0.0010294371361614866
TS_diff,0.0010203176320191776
BoxCreation,0.0009709006046301406
blk_per_game,0.0009632535654496611
stl_per_game,0.0009055467781984469
SEM,0.0008689370472834121
stl_per100,0.0008330760396031967
USG_pct,0.0008183285708534274
to_per40,0.0007921398551682463
blk_ind,0.0007622211780321123
FTr,0.000608592711870331
DPMR,0.0006058720002548271
PPT,0.00047466005585702377
stl_per40,0.0004611452058619677
STL_TO_ratio,0.00044053174369694525
team_TS_pct,0.00042959200116951323
gp_ind,0.00034219663862572057
